@relation allrecipes_recipes

@attribute URL string
@attribute Title string
@attribute Category string
@attribute Rating numeric
@attribute "Prep_Time_(min)" numeric
@attribute "Cook_Time_(min)" numeric
@attribute "Total_Time_(min)" numeric
@attribute Servings numeric
@attribute Ingredients string
@attribute "Image_Paths" string

@data
"https://www.allrecipes.com/recipe/259982/crock-pot-party-meatballs/", "Crock Pot® Party Meatballs", "Appetizers and Snacks", 4.9, 5.0, 180.0, 185.0, 8.0, "1 (907.20 grams) bag frozen cooked meatballs, 1 (396.90 grams) can whole berry cranberry sauce, 1 (340.20 grams) bottle tomato-based chili sauce, 0.5  lemon, juiced, 2 drops hot sauce (such as Tabasco), or more to taste", "pics/Crock Pot® Party Meatballs/image_1.jpg, pics/Crock Pot® Party Meatballs/image_2.jpg"
"https://www.allrecipes.com/recipe/230992/big-game-dip/", "Big Game Dip", "Dips and Spreads Recipes", 4.6, 10.0, 130.0, 140.0, 20.0, "1 (907.20 grams) loaf processed cheese (such as Velveeta®), cubed, 453.60 grams bulk spicy pork sausage, 1 (680.40 grams) jar hot salsa, 120.00 grams hot pepper sauce (such as Frank's RedHot®), 3 large jalapeno peppers, chopped (Optional)", "pics/Big Game Dip/image_1.jpg, pics/Big Game Dip/image_2.jpg"
"https://www.allrecipes.com/recipe/236095/easy-two-ingredient-pulled-pork/", "Easy, Two-Ingredient Pulled Pork", "Main Dishes", 4.7, 15.0, 465.0, 480.0, 8.0, "1 (2 1/907.20 grams) boneless pork loin roast, water as needed, 1 (510.30 grams) bottle barbeque sauce (such as Dinosaur®), 8 large sandwich buns, split", "pics/Easy, Two-Ingredient Pulled Pork/image_1.jpg, pics/Easy, Two-Ingredient Pulled Pork/image_2.jpg"
"https://www.allrecipes.com/recipe/235420/slow-cooker-3-ingredient-french-dips/", "Slow Cooker 3-Ingredient French Dips", "Main Dishes", 4.7, 5.0, 420.0, 425.0, 8.0, "1 (1360.80 grams) beef brisket, 1 envelope onion soup mix, 1 (396.90 grams) can beef broth, 8  large French rolls, split", "pics/Slow Cooker 3-Ingredient French Dips/image_1.jpg, pics/Slow Cooker 3-Ingredient French Dips/image_2.jpg"
"https://www.allrecipes.com/recipe/255346/slow-cooker-5-ingredient-ham/", "Slow Cooker 5-Ingredient Ham", "No info", 4.8, 5.0, 360.0, 365.0, 10.0, "1 (2268.00 grams) bone-in ham, 1 (226.80 grams) can pineapple chunks in juice, 120.00 grams spicy brown mustard, 37.50 grams honey, or more to taste, 30.00 grams minced garlic", "pics/Slow Cooker 5-Ingredient Ham/image_1.jpg, pics/Slow Cooker 5-Ingredient Ham/image_2.jpg"
"https://www.allrecipes.com/recipe/230301/so-simple-beef-stroganoff/", "So Simple Beef Stroganoff", "Main Dishes", 4.6, 10.0, 180.0, 190.0, 4.0, "1 (304.76 grams) can condensed cream of mushroom soup, 120.00 grams water, or more as needed, 1 (28.35 grams) package dry onion soup mix, 453.60 grams cubed beef stew meat, 113.40 grams cream cheese", "pics/So Simple Beef Stroganoff/image_1.jpg, pics/So Simple Beef Stroganoff/image_2.jpg"
"https://www.allrecipes.com/recipe/239319/slow-cooker-hawaiian-chicken/", "Slow Cooker Hawaiian Chicken", "Meat and Poultry", 4.2, 5.0, 240.0, 245.0, 9.0, "1360.80 grams chicken breast, 1 (510.30 grams) bottle honey barbecue sauce, 1 (432.34 grams) can sliced pineapple, 5.00 grams soy sauce", "pics/Slow Cooker Hawaiian Chicken/image_1.jpg, pics/Slow Cooker Hawaiian Chicken/image_2.jpg"
"https://www.allrecipes.com/recipe/237682/slow-cooker-chicken-and-salsa/", "Slow Cooker Chicken and Salsa", "Meat and Poultry", 4.5, 5.0, 300.0, 315.0, 6.0, "1  sweet onion, sliced and separated into rings, 1 (2268.00 grams) whole chicken, 1 (567.00 grams) jar salsa", "pics/Slow Cooker Chicken and Salsa/image_1.jpg, pics/Slow Cooker Chicken and Salsa/image_2.jpg"
"https://www.allrecipes.com/recipe/14648/mothers-pot-roast/", "Mother's Pot Roast", "Main Dishes", 4.3, 10.0, 420.0, 430.0, 5.0, "1134.00 grams tip round roast, salt and pepper to taste, 1 (425.25 grams) can tomato sauce, 1  onion, cut into thin strips, 2  bay leaves, 45.00 grams all-purpose flour", "pics/Mother's Pot Roast/image_1.jpg"
"https://www.allrecipes.com/recipe/228498/slow-cooker-baby-back-ribs/", "Slow Cooker Baby Back Ribs", "Pork", 4.8, 10.0, 255.0, 265.0, 6.0, "1360.80 grams baby back ribs, trimmed, salt and ground black pepper, to taste, 120.00 grams water, 0.5  onion, sliced, 5.00 grams garlic, minced, 1 (510.30 grams) bottle barbeque sauce", "pics/Slow Cooker Baby Back Ribs/image_1.jpg, pics/Slow Cooker Baby Back Ribs/image_2.jpg, pics/Slow Cooker Baby Back Ribs/image_3.jpg, pics/Slow Cooker Baby Back Ribs/image_4.jpg, pics/Slow Cooker Baby Back Ribs/image_5.jpg, pics/Slow Cooker Baby Back Ribs/image_6.jpg, pics/Slow Cooker Baby Back Ribs/image_7.jpg"
